00077+7839TDS1304      4496 01670 1 1991.71 316.5   0.460  0.03                  
00077+0348TDS1305      0004 01186 1 1991.87  61.2   0.490  0.12                  
00081+6414TDS1306      4022 01202 1 1991.52 177.4   2.480  0.75                  
00083-1558TDS1307      5838 00223 1 1991.73  46.9   0.560  0.18                  
00085+7830TDS1308      4496 00931 1 1991.68  27.8   1.440  0.19                  
00085-7134TDS1309      9137 02491 1 1991.66 322.8   3.700  0.10                  
00086+3620TDS1310      2271 00954 1 1991.45 231.7   0.960  0.67                  
00087-4057TDS1311      7526 00303 1 1991.67 137.2   2.250  1.26                  
00087-5247TDS1312      8464 00059 1 1991.69 296.1   0.490  0.35                  
00089+1332TDS1313      0600 00840 1 1991.59 286.5   0.450  0.51                  
00090+4823TDS1314      3250 01189 1 1991.68 215.1   0.660  0.05                  
00091+5938TDS1315Ba-Bb 3664 00690 1 1991.62 255.9   0.410  0.00                  
00091-5708TDS1316      8467 00301 1 1991.56 251.1   0.550  0.17                  
00092+5645TDS1317      3660 01724 1 1991.61 127.1   0.530  0.05                  
00092+5217TDS1318      3258 01846 1 1991.69 115.0   1.960  0.40                  
00092+4520TDS1319      3246 01478 1 1991.73 347.9   0.820  0.62                  
00092+0937TDS1320      0594 00153 1 1991.73 224.9   0.390  0.24                  
00094+6122TDS1321      4014 01730 1 1991.62  85.9   0.660  0.41                  
00094-3321TDS1322      6992 01051 1 1991.58 278.0   9.530  0.03                  
00096+0426TDS1323      0004 00550 1 1991.76 225.9   1.660  1.14                  
00099+5529TDS1324      3656 01481 1 1991.72  75.8   2.450  0.24                  
00099+4601TDS1325      3246 00752 1 1991.65   8.8   0.620  0.13                  
00100+5530TDS1326      3656 00939 1 1991.71  27.2   0.430  0.07                  
00101+5054TDS1327      3258 00644 1 1991.53 116.7   2.800  0.80                  
00102+5016TDS1328      3254 00894 1 1991.59 108.5   1.830  1.34                  
00102+4717TDS1329      3250 00278 1 1991.67  71.8   0.740  0.41                  
00103+5936TDS1330      3664 00668 1 1991.64 343.2   0.530  0.09                  
00104+4358TDS1331      2794 02340 1 1991.52  62.4   0.480  0.33                  
00105+5314TDS1332      3652 01292 1 1991.67 315.6   0.420  0.28                  
00110+1024TDS1333      0598 01005 1 1991.50  64.8   0.490  0.22                  
00111-1831TDS1334      5842 00340 1 1991.80 137.9   1.130  1.52                  
00112+5247TDS1335      3652 00552 1 1991.68 327.8   0.810  0.37                  
00112+5034TDS   5      3254 00037 1 1991.55 137.4   1.257  1.90                  
00114+4710TDS1336      3251 00543 1 1991.66  18.2   0.520  0.24                  
00116-8031TDS1337      9354 00545 1 1991.68  35.5   0.700  0.45                  
00117+6145TDS1338      4014 00860 1 1991.61 105.0   0.380  0.33                  
00119+7855TDS1339      4500 01010 1 1991.69 289.7   0.460  0.16                  
00122-7733TDS1340      9350 00523 1 1991.62   5.3   0.980  0.21                  
00125+5415TDS1341      3652 01114 1 1991.58 310.4   0.600  0.08                  
00127+6641TDS1342      4026 00385 1 1991.61  81.0   0.420  0.20                  
00127+6147TDS1343      4014 00155 1 1991.62 315.3   0.530  0.34                  
00130+4806TDS1344      3251 00556 1 1991.62 104.2   0.540  0.26                  
00131+5550TDS   6      3656 00866 1 1991.66 111.2    .865  1.33                  
00132+4723TDS1345      3251 02072 1 1991.69 295.2   5.510  0.87                  
00132+3714TDS1346      2272 00189 1 1991.39 170.6   1.580  0.64                  
00133-3242TDS1347      6993 00039 1 1991.76   2.3   0.720  0.13                  
00134+5342TDS1348      3653 01271 1 1991.68  33.9   0.550  0.11                  
00134+0226TDS   7      0002 00378 1 1991.75  27.3   1.536   .68                  
00135+6020TDS1349      4014 00588 1 1991.63 110.1   1.080  0.29                  
00137+7702TDS1350      4496 00780 1 1991.69 222.8   1.410  2.22                  
00137+4207TDS1351      2790 00416 1 1991.44 172.1   0.570  0.01                  
00138+4801TDS1352      3251 01983 1 1991.61 292.0   2.290  2.46                  
00142+5405TDS1353      3653 00456 1 1991.67 177.3   0.710  0.02                  
00147+4925TDS1354      3255 01018 1 1991.56 110.2   0.840  0.39                  
00148+5415TDS1355      3653 00688 1 1991.66 312.0   0.420  0.04                  
00148+2432TDS1356      1730 01982 1 1991.61 282.0   0.480  0.13                  
00150+5243TDS1357      3653 01447 1 1991.51  49.5   0.950  0.13                  
00151+5414TDS1358      3653 01766 1 1991.66 324.7   0.370  0.14                  
00151+5407TDS1359      3653 00606 1 1991.68 198.9   1.760  1.89                  
00152+4723TDS1360      3251 02094 1 1991.62 108.9   2.180  1.09                  
00153+5528TDS1361      3657 01628 1 1991.65  14.7   0.740  0.52                  
00153+5103TDS1362      3259 01253 1 1991.52 171.1   0.720  0.16                  
00153+3031TDS1363      2260 00269 1 1991.56 167.9   0.470  0.12                  
00156+5534TDS1364      3657 00678 1 1991.66   7.2   2.410  0.80                  
00156+5530TDS1365      3657 01991 1 1991.67 303.4   0.560  0.48                  
00156+3355TDS1366      2268 01156 1 1991.43  79.0   0.560  0.17                  
00156+2305TDS   8      1730 01264 1 1991.52 281.6   1.397  1.51 +22   30         
00157+8141TDS1367      4504 00022 1 1991.67   9.8   0.540  0.09                  
00158+4543TDS1368      3247 00767 1 1991.55 337.2   0.660  0.12                  
00158+3718TDS1369      2272 00643 1 1991.40 247.9   0.540  0.12                  
00158+3526TDS1370      2268 00041 1 1991.38 280.4   0.500  0.20                  
00159+5706TDS1371      3661 01748 1 1991.63  39.1   0.880  0.02                  
00159+3028TDS1372      2260 00897 1 1991.58 209.5   2.990  1.10                  
